"Order","Category","Code","Disease"
"872","Diseases of thyroid gland","246","Other diseases of thyroid gland"
"873","Diseases of other endocrine glands","250","Diabetes mellitus"
"874","Diseases of other endocrine glands","250","With mention of acidosis or coma"
"875","Diseases of other endocrine glands","250.9","Without mention of acidosis or coma"
"876","Diseases of other endocrine glands","251","Disorders of pancreatic internal secretion other than diabetes mellitus"
"877","Diseases of other endocrine glands","252","Diseases of parathyroid gland"
"878","Diseases of other endocrine glands","252","Hyperparathyroidism"
"879","Diseases of other endocrine glands","252.1","Hypoparathyroidism"
"880","Diseases of other endocrine glands","252.9","Other and unspecified"
"881","Diseases of other endocrine glands","253","Diseases of pituitary gland"
"882","Diseases of other endocrine glands","253","Anterior pituitary hyperfunction"
"883","Diseases of other endocrine glands","253.1","Anterior pituitary hypofunction"
"884","Diseases of other endocrine glands","253.2","Chromophobe adenoma, pituitary"
"885","Diseases of other endocrine glands","253.9","Other and unspecified"
"886","Diseases of other endocrine glands","254","Diseases of thymus gland"
"887","Diseases of other endocrine glands","255","Diseases of adrenal glands"
"888","Diseases of other endocrine glands","255","Adrenal cortical hyperfunction"
"889","Diseases of other endocrine glands","255.1","Adrenal cortical hypofunction"
"890","Diseases of other endocrine glands","255.2","Phaeochromocytoma"
"891","Diseases of other endocrine glands","255.9","Other and unspecified"
"892","Diseases of other endocrine glands","256","Ovarian dysfunction"
"893","Diseases of other endocrine glands","256","Hyperfunction"
"894","Diseases of other endocrine glands","256.1","Hypofunction"
"895","Diseases of other endocrine glands","256.9","Other and unspecified"
"896","Diseases of other endocrine glands","257","Testicular dysfunction"
"897","Diseases of other endocrine glands","257","Hyperfunction"
"898","Diseases of other endocrine glands","257.1","Hypofunction"
"899","Diseases of other endocrine glands","257.9","Other and unspecified"
"900","Diseases of other endocrine glands","258","Polyglandular dysfunction and other diseases of endocrine glands"
"901","Diseases of other endocrine glands","258","Cushing's syndrome"
"902","Diseases of other endocrine glands","258.1","Polyglandular dysfunction"
"903","Diseases of other endocrine glands","258.9","Other and unspecified diseases of endocrine system"
"904","Avitaminoses and other nutritional deficiency","260","Vitamin A deficiency"
"905","Avitaminoses and other nutritional deficiency","260","Night blindness"
"906","Avitaminoses and other nutritional deficiency","260.1","Xerophthalmia, keratomalacia"
"907","Avitaminoses and other nutritional deficiency","260.8","Other manifestation"
"908","Avitaminoses and other nutritional deficiency","260.9","Unspecified"
"909","Avitaminoses and other nutritional deficiency","261","Thiamine deficiency"
"910","Avitaminoses and other nutritional deficiency","262","Niacin deficiency"
"911","Avitaminoses and other nutritional deficiency","263","Other vitamin B deficiency"
"912","Avitaminoses and other nutritional deficiency","263","Ariboflavinosis"
"913","Avitaminoses and other nutritional deficiency","263.1","Vitamin B6 deficiency"
"914","Avitaminoses and other nutritional deficiency","263.8","Other"
"915","Avitaminoses and other nutritional deficiency","263.9","Unspecified"
"916","Avitaminoses and other nutritional deficiency","264","Ascorbic acid deficiency"
"917","Avitaminoses and other nutritional deficiency","265","Vitamin D deficiency"
"918","Avitaminoses and other nutritional deficiency","265","Rickets active"
"919","Avitaminoses and other nutritional deficiency","265.1","Rickets, late effect"
"920","Avitaminoses and other nutritional deficiency","265.2","Osteomalacia"
"921","Avitaminoses and other nutritional deficiency","265.9","Unspecified"
"922","Avitaminoses and other nutritional deficiency","266","Other vitamin deficiency states"
"923","Avitaminoses and other nutritional deficiency","266","Vitamin K deficiency"
"924","Avitaminoses and other nutritional deficiency","266.8","Other"
"925","Avitaminoses and other nutritional deficiency","266.9","Unspecified"
"926","Avitaminoses and other nutritional deficiency","267","Protein malnutrition"
"927","Avitaminoses and other nutritional deficiency","268","Nutritional marasmus"
"928","Avitaminoses and other nutritional deficiency","269","Other nutritional deficiency"
"929","Avitaminoses and other nutritional deficiency","269","Sprue and steatorrhoea"
"930","Avitaminoses and other nutritional deficiency","269.1","Malabsorption syndrome, unspecified"
"931","Avitaminoses and other nutritional deficiency","269.9","Other and unspecified"
"932","Other metabolic diseases","270","Congenital disorders of amino-acid metabolism"
"933","Other metabolic diseases","270","Phenylketonuria"
"934","Other metabolic diseases","270.1","Cystinuria"
"935","Other metabolic diseases","270.2","Other disorders of amino-acid transport"
"936","Other metabolic diseases","270.3","Cystinosis"
"937","Other metabolic diseases","270.4","Maple syrup disease"
"938","Other metabolic diseases","270.5","Disorders of purine and pyrimidine metabolism"
"939","Other metabolic diseases","270.6","Alkaptonuria"
"940","Other metabolic diseases","270.8","Other"
"941","Other metabolic diseases","270.9","Unspecified"
"942","Other metabolic diseases","271","Congenital disorders of carbohydrate metabolism"
"943","Other metabolic diseases","271","Von Gierke's disease"
"944","Other metabolic diseases","271.1","Other and unspecified glycogen storage disease"
"945","Other metabolic diseases","271.2","Galactosaemia"
"946","Other metabolic diseases","271.3","Fructosuria"
"947","Other metabolic diseases","271.8","Other"
"948","Other metabolic diseases","271.9","Unspecified"
"949","Other metabolic diseases","272","Congenital disorders of lipid metabolism"
"950","Other metabolic diseases","272","Xanhomatosis"
"951","Other metabolic diseases","272.1","Familial lipoprotein deficiency disorders"
"952","Other metabolic diseases","272.2","Lipid storage disorders"
"953","Other metabolic diseases","272.8","Other"
"954","Other metabolic diseases","272.9","Unspecified"
"955","Other metabolic diseases","273","Other and unspecified congenital disorders of metabolism"
"956","Other metabolic diseases","273","Cystic fibrosis (mucoviscidosis)"
"957","Other metabolic diseases","273.1","Disorders of porphyrin metabolism"
"958","Other metabolic diseases","273.2","Haemochromatosis"
"959","Other metabolic diseases","273.3","Hepatolenticular degeneration"
"960","Other metabolic diseases","273.4","Other disorders involving metabolism of minerals"
"961","Other metabolic diseases","273.5","Defective bilirubin excretion"
"962","Other metabolic diseases","273.6","Disorders of steroid metabolism"
"963","Other metabolic diseases","273.8","Other"
"964","Other metabolic diseases","273.9","Unspecified"
"965","Other metabolic diseases","274","Gout"
"966","Other metabolic diseases","275","Plasma protein abnormalities"
"967","Other metabolic diseases","275","Agammaglobulinaemia"
"968","Other metabolic diseases","275.1","Hypogammaglobulinaemia"
"969","Other metabolic diseases","275.2","Analbuminaemia"
"970","Other metabolic diseases","275.3","Bisalbuminaemia"
"971","Other metabolic diseases","275.4","Cryoglobulinaemia"
"972","Other metabolic diseases","275.5","Macroglobulinaemia"
"973","Other metabolic diseases","275.9","Other and unspecified"
"974","Other metabolic diseases","276","Amyloidosis"
"975","Other metabolic diseases","277","Obesity not specified as of endocrine origin"
"976","Other metabolic diseases","278","Other hyperalimentation"
"977","Other metabolic diseases","278","Hypervitaminosis A"
"978","Other metabolic diseases","278.1","Carotinaemia"
"979","Other metabolic diseases","278.2","Hypervitaminosis D"
"980","Other metabolic diseases","278.9","Other and unspecified"
"981","Other metabolic diseases","279","Other and unspecified metabolic diseases"
"982","Diseases of blood and blood-forming organs","280","Iron deficiency anaemias"
"983","Diseases of blood and blood-forming organs","281","Other vitamin B12 deficiency anaemia"
"984","Diseases of blood and blood-forming organs","281","Pernicious anaemia"
"985","Diseases of blood and blood-forming organs","281.1","Other vitamin B12 deficiency"
"986","Diseases of blood and blood-forming organs","281.2","Folic acid deficiency anaemia"
"987","Diseases of blood and blood-forming organs","281.3","Vitamin B6 deficiency anaemia"
"988","Diseases of blood and blood-forming organs","281.4","Protein deficiency anaemia"
"989","Diseases of blood and blood-forming organs","281.9","Other and unspecified deficiency anaemia"
"990","Diseases of blood and blood-forming organs","282","Hereditary haemolytic anaemias"
"991","Diseases of blood and blood-forming organs","282","Familial acholuric jaundice"
"992","Diseases of blood and blood-forming organs","282.1","Hereditary elliptocytosis"
"993","Diseases of blood and blood-forming organs","282.2","Anaemias due to glucose-6-phosphate dehydrogenase deficiency"
"994","Diseases of blood and blood-forming organs","282.3","Other hereditary nonspherocytic haemolytic anaemia"
"995","Diseases of blood and blood-forming organs","282.4","Mediterranean anaemia"
"996","Diseases of blood and blood-forming organs","282.5","Haemoglobinopathies"
"997","Diseases of blood and blood-forming organs","282.9","Other"
"998","Diseases of blood and blood-forming organs","283","Acquired haemolytic anaemias"
"999","Diseases of blood and blood-forming organs","283","Acute"
"1000","Diseases of blood and blood-forming organs","283.9","Other"
"1001","Diseases of blood and blood-forming organs","284","Aplastic anaemia"
"1002","Diseases of blood and blood-forming organs","285","Other and unspecified anaemias"
"1003","Diseases of blood and blood-forming organs","285","Hypochromic anaemia with iron loading"
"1004","Diseases of blood and blood-forming organs","285.8","Other specified anaemia"
"1005","Diseases of blood and blood-forming organs","285.9","Anaemia, unspecified"
"1006","Diseases of blood and blood-forming organs","286","Coagulation defects"
"1007","Diseases of blood and blood-forming organs","286","Haemophilia"
"1008","Diseases of blood and blood-forming organs","286.1","Christmas disease"
"1009","Diseases of blood and blood-forming organs","286.2","Plasma thromboplastin antecedent deficiency"
"1010","Diseases of blood and blood-forming organs","286.3","Vascular haemophilia"
"1011","Diseases of blood and blood-forming organs","286.4","Haemorrhagic fibrinolysis"
"1012","Diseases of blood and blood-forming organs","286.5","Circulating anticoagulants"
"1013","Diseases of blood and blood-forming organs","286.9","Other"
"1014","Diseases of blood and blood-forming organs","287","Purpura and other haemorrhagic conditions"
"1015","Diseases of blood and blood-forming organs","287","Allergic purpura"
"1016","Diseases of blood and blood-forming organs","287.1","Thrombocytopenia"
"1017","Diseases of blood and blood-forming organs","287.2","Haemorrhagic thrombocythaemia"
"1018","Diseases of blood and blood-forming organs","287.3","Thrombocytopathy"
"1019","Diseases of blood and blood-forming organs","287.9","Other and unspecified"
"1020","Diseases of blood and blood-forming organs","288","Agranulocytosis"
"1021","Diseases of blood and blood-forming organs","289","Other disease of blood and blood-forming organs"
"1022","Diseases of blood and blood-forming organs","289","Polycythaemia, secondary"
"1023","Diseases of blood and blood-forming organs","289.1","Chronic lymphadenitis"
"1024","Diseases of blood and blood-forming organs","289.2","Nonspecific mesenteric lymphadenitis"
"1025","Diseases of blood and blood-forming organs","289.3","Lymphadenitis, unspecified, except mesenteric"
"1026","Diseases of blood and blood-forming organs","289.4","Hypersplenism"
"1027","Diseases of blood and blood-forming organs","289.5","Other disease of spleen"
"1028","Diseases of blood and blood-forming organs","289.9","Other and unspecified"
"1029","Psychoses","290","Senile and presenile dementia"
"1030","Psychoses","290","Senile dementia"
"1031","Psychoses","290.1","Presenile dementia"
"1032","Psychoses","291","Alcoholic psychosis"
"1033","Psychoses","291","Delirium tremens"
"1034","Psychoses","291.1","Korsakov's psychosis (alcoholic)"
"1035","Psychoses","291.2","Other alcoholic hallucinosis"
"1036","Psychoses","291.3","Alcoholic paranoia"
"1037","Psychoses","291.9","Other and unspecified"
"1038","Psychoses","292","Psychosis associated with intracranial infection"
"1039","Psychoses","292","General paralysis"
"1040","Psychoses","292.1","Other syphilis of central nervous system"
"1041","Psychoses","292.2","Epidemic encephalitis"
"1042","Psychoses","292.3","Other and unspecified encephalitis"
"1043","Psychoses","292.9","Other and unspecified intracranial infection"
"1044","Psychoses","293","Psychosis associated with other cerebral condition"
"1045","Psychoses","293","Cerebral arteriosclerosis"
"1046","Psychoses","293.1","Other cerebrovascular disturbances"
"1047","Psychoses","293.2","Epilepsy"
"1048","Psychoses","293.3","Intercranial neoplasm"
"1049","Psychoses","293.4","Degenerative diseases of central nervous system"
"1050","Psychoses","293.5","Brain trauma"
"1051","Psychoses","293.9","Other and unspecified cerebral condition"
"1052","Psychoses","294","Psychosis associated with other physical conditions"
"1053","Psychoses","294","Endocrine disorders"
"1054","Psychoses","294.1","Metabolic and nutritional disorders"
"1055","Psychoses","294.2","Systemic infections"
"1056","Psychoses","294.3","Drug or poison intoxication"
"1057","Psychoses","294.4","Childbirth"
"1058","Psychoses","294.8","Other physical conditions"
"1059","Psychoses","294.9","Unspecified physical condition"
"1060","Psychoses","295","Schizophrenia"
"1061","Psychoses","295","Simple type"
"1062","Psychoses","295.1","Hebephrenic type"
"1063","Psychoses","295.2","Catatonic type"
"1064","Psychoses","295.3","Paranoid type"
"1065","Psychoses","295.4","Acute schizophrenia episode"
"1066","Psychoses","295.5","Latent schizophrenia"
"1067","Psychoses","295.6","Residual schizophrenia"
"1068","Psychoses","295.7","Schizo-affective type"
"1069","Psychoses","295.8","Other"
"1070","Psychoses","295.9","Unspecified type"
"1071","Psychoses","296","Affective psychoses"
"1072","Psychoses","296","Involutional melancholia"
"1073","Psychoses","296.1","Manic-depression psychosis, manic type"
"1074","Psychoses","296.2","Manic depressive psychosis, depressed type"
"1075","Psychoses","296.3","Manic-depressive psychosis, circular type"
"1076","Psychoses","296.8","Other"
"1077","Psychoses","296.9","Unspecified"
"1078","Psychoses","297","Paranoid states"
"1079","Psychoses","297","Paranoia"
"1080","Psychoses","297.1","Involutional paraphrenia"
"1081","Psychoses","297.9","Other"
"1082","Psychoses","298","Other psychoses"
"1083","Psychoses","298","Reactive depressive psychosis"
"1084","Psychoses","298.1","Reactive excitation"
"1085","Psychoses","298.2","Reactive confusion"
"1086","Psychoses","298.3","Acute paranoid reaction"
"1087","Psychoses","298.9","Reactive psychosis, unspecified"
"1088","Psychoses","299","Unspecified psychosis"
"1089","Neuroses, personality disorders and other nonpsychotic mental disorders","300","Neuroses"
"1090","Neuroses, personality disorders and other nonpsychotic mental disorders","300","Anxiety neurosis"
"1091","Neuroses, personality disorders and other nonpsychotic mental disorders","300.1","Hysterical neurosis"
"1092","Neuroses, personality disorders and other nonpsychotic mental disorders","300.2","Phobic neurosis"
"1093","Neuroses, personality disorders and other nonpsychotic mental disorders","300.3","Obsessive compulsive neurosis"
"1094","Neuroses, personality disorders and other nonpsychotic mental disorders","300.4","Depressive neurosis"
"1095","Neuroses, personality disorders and other nonpsychotic mental disorders","300.5","Neurasthenia"
"1096","Neuroses, personality disorders and other nonpsychotic mental disorders","300.6","Depersonalisation syndrome"
"1097","Neuroses, personality disorders and other nonpsychotic mental disorders","300.7","Hypochondriacal neurosis"
"1098","Neuroses, personality disorders and other nonpsychotic mental disorders","300.8","Other"
"1099","Neuroses, personality disorders and other nonpsychotic mental disorders","300.9","Unspecified neurosis"
"1100","Neuroses, personality disorders and other nonpsychotic mental disorders","301","Personality disorders"
"1101","Neuroses, personality disorders and other nonpsychotic mental disorders","301","Paranoid"
"1102","Neuroses, personality disorders and other nonpsychotic mental disorders","301.1","Affective"
"1103","Neuroses, personality disorders and other nonpsychotic mental disorders","301.2","Schizoid"
"1104","Neuroses, personality disorders and other nonpsychotic mental disorders","301.3","Explosive"
"1105","Neuroses, personality disorders and other nonpsychotic mental disorders","301.4","Anankastic"
"1106","Neuroses, personality disorders and other nonpsychotic mental disorders","301.5","Hysterical"
"1107","Neuroses, personality disorders and other nonpsychotic mental disorders","301.6","Asthenic"
"1108","Neuroses, personality disorders and other nonpsychotic mental disorders","301.7","Antisocial"
"1109","Neuroses, personality disorders and other nonpsychotic mental disorders","301.8","Other"
"1110","Neuroses, personality disorders and other nonpsychotic mental disorders","301.9","Unspecified"
"1111","Neuroses, personality disorders and other nonpsychotic mental disorders","302","Sexual deviation"
"1112","Neuroses, personality disorders and other nonpsychotic mental disorders","302","Homosexuality"
"1113","Neuroses, personality disorders and other nonpsychotic mental disorders","302.1","Fetishism"
"1114","Neuroses, personality disorders and other nonpsychotic mental disorders","302.2","Paedophilia"
"1115","Neuroses, personality disorders and other nonpsychotic mental disorders","302.3","Transvestitism"
"1116","Neuroses, personality disorders and other nonpsychotic mental disorders","302.4","Exhibitionism"
"1117","Neuroses, personality disorders and other nonpsychotic mental disorders","302.5","Voyeurism"
"1118","Neuroses, personality disorders and other nonpsychotic mental disorders","302.6","Sadism"
"1119","Neuroses, personality disorders and other nonpsychotic mental disorders","302.7","Masochism"
"1120","Neuroses, personality disorders and other nonpsychotic mental disorders","302.8","Other"
"1121","Neuroses, personality disorders and other nonpsychotic mental disorders","302.9","Unspecified"
"1122","Neuroses, personality disorders and other nonpsychotic mental disorders","303","Alcoholism"
"1123","Neuroses, personality disorders and other nonpsychotic mental disorders","303","Episodic excessive drinking"
"1124","Neuroses, personality disorders and other nonpsychotic mental disorders","303.1","Habitual excessive drinking"
"1125","Neuroses, personality disorders and other nonpsychotic mental disorders","303.2","Alcoholic addiction"
"1126","Neuroses, personality disorders and other nonpsychotic mental disorders","303.9","Other and unspecified alcoholism"
"1127","Neuroses, personality disorders and other nonpsychotic mental disorders","304","Drug dependence"
"1128","Neuroses, personality disorders and other nonpsychotic mental disorders","304","Opium, opium alkaloids and their derivatives"
"1129","Neuroses, personality disorders and other nonpsychotic mental disorders","304.1","Synthetic analgesics with morphine-like effects"
"1130","Neuroses, personality disorders and other nonpsychotic mental disorders","304.2","Barbiturates"
"1131","Neuroses, personality disorders and other nonpsychotic mental disorders","304.3","Other hypnotics and sedatives or tranquillisers"
"1132","Neuroses, personality disorders and other nonpsychotic mental disorders","304.4","Cocaine"
"1133","Neuroses, personality disorders and other nonpsychotic mental disorders","304.5","Cannabis sativa"
"1134","Neuroses, personality disorders and other nonpsychotic mental disorders","304.6","Other psycho-stimulants"
"1135","Neuroses, personality disorders and other nonpsychotic mental disorders","304.7","Hallucinogenics"
"1136","Neuroses, personality disorders and other nonpsychotic mental disorders","304.8","Other"
"1137","Neuroses, personality disorders and other nonpsychotic mental disorders","304.9","Unspecified"
"1138","Neuroses, personality disorders and other nonpsychotic mental disorders","305","Physical disorders of presumably psychogenic origin"
"1139","Neuroses, personality disorders and other nonpsychotic mental disorders","305","Skin"
"1140","Neuroses, personality disorders and other nonpsychotic mental disorders","305.1","Musculoskeletal"
"1141","Neuroses, personality disorders and other nonpsychotic mental disorders","305.2","Respiratory"
"1142","Neuroses, personality disorders and other nonpsychotic mental disorders","305.3","Cardiovascular"
"1143","Neuroses, personality disorders and other nonpsychotic mental disorders","305.4","Haemic and lymphatic"
"1144","Neuroses, personality disorders and other nonpsychotic mental disorders","305.5","Gastro-intestinal"
"1145","Neuroses, personality disorders and other nonpsychotic mental disorders","305.6","Genito-urinary"
"1146","Neuroses, personality disorders and other nonpsychotic mental disorders","305.7","Endocrine"
"1147","Neuroses, personality disorders and other nonpsychotic mental disorders","305.8","Organs of special sense"
"1148","Neuroses, personality disorders and other nonpsychotic mental disorders","305.9","Other"
"1149","Neuroses, personality disorders and other nonpsychotic mental disorders","306","Special symptoms not elsewhere classified"
"1150","Neuroses, personality disorders and other nonpsychotic mental disorders","306","Stammering and stuttering"
"1151","Neuroses, personality disorders and other nonpsychotic mental disorders","306.1","Specific learning disturbance"
"1152","Neuroses, personality disorders and other nonpsychotic mental disorders","306.2","Tics"
"1153","Neuroses, personality disorders and other nonpsychotic mental disorders","306.3","Other psychomotor disorders"
"1154","Neuroses, personality disorders and other nonpsychotic mental disorders","306.4","Specific disorders of sleep"
"1155","Neuroses, personality disorders and other nonpsychotic mental disorders","306.5","Feeding disturbance"
"1156","Neuroses, personality disorders and other nonpsychotic mental disorders","306.6","Enuresis"
"1157","Neuroses, personality disorders and other nonpsychotic mental disorders","306.7","Encopresis"
"1158","Neuroses, personality disorders and other nonpsychotic mental disorders","306.8","Cephalalgia"
"1159","Neuroses, personality disorders and other nonpsychotic mental disorders","306.9","Other"
"1160","Neuroses, personality disorders and other nonpsychotic mental disorders","307","Transient situational disturbances"
"1161","Neuroses, personality disorders and other nonpsychotic mental disorders","308","Behaviour disorders of childhood"
"1162","Neuroses, personality disorders and other nonpsychotic mental disorders","309","Mental disorders not specified as psychotic associated with physical conditions"
"1163","Neuroses, personality disorders and other nonpsychotic mental disorders","309","Intracranial infections"
"1164","Neuroses, personality disorders and other nonpsychotic mental disorders","309.1","Drug, poison or systemic intoxication"
"1165","Neuroses, personality disorders and other nonpsychotic mental disorders","309.2","Brain trauma"
"1166","Neuroses, personality disorders and other nonpsychotic mental disorders","309.3","Circulatory disturbance"
"1167","Neuroses, personality disorders and other nonpsychotic mental disorders","309.4","Epilepsy"
"1168","Neuroses, personality disorders and other nonpsychotic mental disorders","309.5","Disturbance of metabolism, growth or nutrition"
"1169","Neuroses, personality disorders and other nonpsychotic mental disorders","309.6","Senile or presenile brain disease"
"1170","Neuroses, personality disorders and other nonpsychotic mental disorders","309.7","Intracranial neoplasm"
"1171","Neuroses, personality disorders and other nonpsychotic mental disorders","309.8","Degenerative diseases of central nervous system"
"1172","Neuroses, personality disorders and other nonpsychotic mental disorders","309.9","Other or unspecified physical condition"
"1173","Mental retardation","310","Borderline mental retardation"
"1174","Mental retardation","310","Following infections and intoxications"
"1175","Mental retardation","310.1","Following trauma or physical agents"
"1176","Mental retardation","310.2","With disorders of metabolism, growth or nutrition"
"1177","Mental retardation","310.3","Associated with gross brain disease (postnatal)"
"1178","Mental retardation","310.4","Associated with diseases and conditions dute to (unknown) prenatal influence"
"1179","Mental retardation","310.5","With chromosomal abnormalities"
"1180","Mental retardation","310.6","Associated with prematurity"
"1181","Mental retardation","310.7","Following major psychiatric disorder"
"1182","Mental retardation","310.8","With psycho-social (environmental) deprivation"
"1183","Mental retardation","310.9","Other and unspecified"
"1184","Mental retardation","311","Mild mental retardation"
"1185","Mental retardation","311","Following infections and intoxications"
"1186","Mental retardation","311.1","Following trauma or physical agents"
"1187","Mental retardation","311.2","With disorders of metabolism, growth or nutrition"
"1188","Mental retardation","311.3","Associated with gross brain disease (postnatal)"
"1189","Mental retardation","311.4","Associated with diseases and conditions dute to (unknown) prenatal influence"
"1190","Mental retardation","311.5","With chromosomal abnormalities"
"1191","Mental retardation","311.6","Associated with prematurity"
"1192","Mental retardation","311.7","Following major psychiatric disorder"
"1193","Mental retardation","311.8","With psycho-social (environmental) deprivation"
"1194","Mental retardation","311.9","Other and unspecified"
"1195","Mental retardation","312","Moderate mental retardation"
"1196","Mental retardation","312","Following infections and intoxications"
"1197","Mental retardation","312.1","Following trauma or physical agents"
"1198","Mental retardation","312.2","With disorders of metabolism, growth or nutrition"
"1199","Mental retardation","312.3","Associated with gross brain disease (postnatal)"
"1200","Mental retardation","312.4","Associated with diseases and conditions dute to (unknown) prenatal influence"
"1201","Mental retardation","312.5","With chromosomal abnormalities"
"1202","Mental retardation","312.6","Associated with prematurity"
"1203","Mental retardation","312.7","Following major psychiatric disorder"
"1204","Mental retardation","312.8","With psycho-social (environmental) deprivation"
"1205","Mental retardation","312.9","Other and unspecified"
"1206","Mental retardation","313","Severe mental retardation"
"1207","Mental retardation","313","Following infections and intoxications"
"1208","Mental retardation","313.1","Following trauma or physical agents"
"1209","Mental retardation","313.2","With disorders of metabolism, growth or nutrition"
"1210","Mental retardation","313.3","Associated with gross brain disease (postnatal)"
"1211","Mental retardation","313.4","Associated with diseases and conditions dute to (unknown) prenatal influence"
"1212","Mental retardation","313.5","With chromosomal abnormalities"
"1213","Mental retardation","313.6","Associated with prematurity"
"1214","Mental retardation","313.7","Following major psychiatric disorder"
"1215","Mental retardation","313.8","With psycho-social (environmental) deprivation"
"1216","Mental retardation","313.9","Other and unspecified"
"1217","Mental retardation","314","Profound mental retardation"
"1218","Mental retardation","314","Following infections and intoxications"
"1219","Mental retardation","314.1","Following trauma or physical agents"
"1220","Mental retardation","314.2","With disorders of metabolism, growth or nutrition"
"1221","Mental retardation","314.3","Associated with gross brain disease (postnatal)"
"1222","Mental retardation","314.4","Associated with diseases and conditions dute to (unknown) prenatal influence"
"1223","Mental retardation","314.5","With chromosomal abnormalities"
"1224","Mental retardation","314.6","Associated with prematurity"
"1225","Mental retardation","314.7","Following major psychiatric disorder"
"1226","Mental retardation","314.8","With psycho-social (environmental) deprivation"
"1227","Mental retardation","314.9","Other and unspecified"
"1228","Mental retardation","315","Unspecified mental retardation"
"1229","Mental retardation","315","Following infections and intoxications"
"1230","Mental retardation","315.1","Following trauma or physical agents"
"1231","Mental retardation","315.2","With disorders of metabolism, growth or nutrition"
"1232","Mental retardation","315.3","Associated with gross brain disease (postnatal)"
"1233","Mental retardation","315.4","Associated with diseases and conditions dute to (unknown) prenatal influence"
"1234","Mental retardation","315.5","With chromosomal abnormalities"
"1235","Mental retardation","315.6","Associated with prematurity"
"1236","Mental retardation","315.7","Following major psychiatric disorder"
"1237","Mental retardation","315.8","With psycho-social (environmental) deprivation"
"1238","Mental retardation","315.9","Other and unspecified"
"1239","Inflammatory diseases of central nervous system","320","Meningitis"
"1240","Inflammatory diseases of central nervous system","320","H. influenzae"
"1241","Inflammatory diseases of central nervous system","320.1","Pneumococcus"
"1242","Inflammatory diseases of central nervous system","320.8","Due to other specified organism"
"1243","Inflammatory diseases of central nervous system","320.9","With no organism specified as cause"
"1244","Inflammatory diseases of central nervous system","321","Phlebitis and thrombophlebitis of intracranial venous sinuses"
"1245","Inflammatory diseases of central nervous system","322","Intracranial and intraspinal abscess"
"1246","Inflammatory diseases of central nervous system","323","Encephalitis, myelitis and encephalomyelitis"
"1247","Inflammatory diseases of central nervous system","324","Late effects of intracranial abscess or pyogenic infection"
"1248","Hereditary and familial diseases of nervous system","330","Hereditary neuromuscular disorders"
"1249","Hereditary and familial diseases of nervous system","330","Neuropathic muscular atrophy"
"1250","Hereditary and familial diseases of nervous system","330.1","Familial progressive spinal muscular atrophy"
"1251","Hereditary and familial diseases of nervous system","330.2","Amyotonia congenita"
"1252","Hereditary and familial diseases of nervous system","330.3","Progressive muscular dystrophy"
"1253","Hereditary and familial diseases of nervous system","330.4","Myotonia atrophica"
"1254","Hereditary and familial diseases of nervous system","330.9","Other"
"1255","Hereditary and familial diseases of nervous system","331","Hereditary diseases of the striatopallidal system"
"1256","Hereditary and familial diseases of nervous system","331","Hereditary chorea"
"1257","Hereditary and familial diseases of nervous system","331.1","Dystonia musculorum deformans"
"1258","Hereditary and familial diseases of nervous system","331.2","Progressive familial myoclonic epilepsy"
"1259","Hereditary and familial diseases of nervous system","331.9","Other"
"1260","Hereditary and familial diseases of nervous system","332","Hereditary ataxia"
"1261","Hereditary and familial diseases of nervous system","332","Hereditary spinal ataxia"
"1262","Hereditary and familial diseases of nervous system","332.1","Hereditary cerebellar ataxia"
"1263","Hereditary and familial diseases of nervous system","332.9","Other and unspecified"
"1264","Hereditary and familial diseases of nervous system","333","Other hereditary and familial diseases of nervous system"
"1265","Hereditary and familial diseases of nervous system","333","Amaurotic family idiocy"
"1266","Hereditary and familial diseases of nervous system","333.1","Progressive cerebral leukodystrophy"
"1267","Hereditary and familial diseases of nervous system","333.9","Other and unspecified"
"1268","Other diseases of central nervous system","340","Multiple sclerosis"
"1269","Other diseases of central nervous system","341","Other demyelinating diseases of central nervous system"
"1270","Other diseases of central nervous system","342","Paralysis agitans"
"1271","Other diseases of central nervous system","343","Cerebral spastic infantile paralysis"
"1272","Other diseases of central nervous system","343","Spastic hemiplegia"
"1273","Other diseases of central nervous system","343.1","Other spastic paralyis"
"1274","Other diseases of central nervous system","343.2","Athetoid"
"1275","Other diseases of central nervous system","343.9","Other and unspecified"
"1276","Other diseases of central nervous system","344","Other cerebral paralysis"
"1277","Other diseases of central nervous system","344","Monoplegia"
"1278","Other diseases of central nervous system","344.1","Hemiplegia"
"1279","Other diseases of central nervous system","344.2","Paraplegia"
"1280","Other diseases of central nervous system","344.3","Quadriplegia"
"1281","Other diseases of central nervous system","344.9","Other and unspecified"
"1282","Other diseases of central nervous system","345","Epilepsy"
"1283","Other diseases of central nervous system","345","Generalised nonconvulsive"
"1284","Other diseases of central nervous system","345.1","Generalised convulsive"
"1285","Other diseases of central nervous system","345.2","Status epilepticus"
"1286","Other diseases of central nervous system","345.3","Partial (focalised), temporal lobe or psychomotor"
"1287","Other diseases of central nervous system","345.4","Partial (focalised), motor type"
"1288","Other diseases of central nervous system","345.5","Partial (focalised), otherand unspecified type"
"1289","Other diseases of central nervous system","345.9","Other and unspecified"
"1290","Other diseases of central nervous system","346","Migraine"
"1291","Other diseases of central nervous system","347","Other disease of brain"
"1292","Other diseases of central nervous system","347","Cataplexy and narcolepsy"
